Stadium,Seating capacity,Region,Country,City,Images,Home team(s)
Harbin Sports City Centre Stadium,"50,000",East Asia,China,"Harbin,Heilongjiang",,
Greenfield International Stadium,"50,000[57]",South Asia,India,Trivandrum,,
EMS Stadium,"50,000",South Asia,India,Kozhikode,,"India national football team,Gokulam Kerala FC"
KD Singh Babu Stadium,"50,000",South Asia,India,Lucknow,,
Eden Park♦,"50,000",Oceania,New Zealand,Auckland,,"Auckland Blues,New Zealand Warriors"
Estádio 11 de Novembro♦,"50,000",Africa,Angola,Luanda,,"Angola national football team,Primeiro de Agosto,Petro Luanda"
Henan Provincial Stadium,"50,000",East Asia,China,"Zhengzhou,Henan",,
Jiangxi Olympic Sports Center,"50,000",East Asia,China,"Nanchang,Jiangxi",,
Max-Morlock-Stadion,"50,000",Europe,Germany,Nuremberg,,1. FC Nürnberg
June 11 Stadium♦,"50,000",Africa,Libya,Tripoli,,"Libya,Al-Ahly SC,Al-Ittihad Tripoli,Al-Madina SC"
Xinjiang Sports Centre Stadium,"50,000",East Asia,China,"Urumqi,Xinjiang",,
Kim Il-sung Stadium,"50,000",East Asia,North Korea,Pyongyang,,Pyongyang City Sports Club
EDION Stadium Hiroshima,"50,000",East Asia,Japan,Hiroshima,,Sanfrecce Hiroshima
Pars Shiraz Stadium,"50,000",West Asia,Iran,Shiraz,,Fajr Sepasi Shiraz FC
Stade du 26 mars♦,"50,000",Africa,Mali,Bamako,,Stade Malien
Stade Abdoulaye Wade,"50,000",Africa,Senegal,Dakar,,Senegal national football team
Sultan Mizan Zainal Abidin Stadium,"50,000",Southeast Asia,Malaysia,Kuala Terengganu,,Terengganu FA
Estadio Akron,"49,850",North America,Mexico,Guadalajara,,C.D. Guadalajara
Levy Mwanawasa Stadium,"49,800",Africa,Zambia,Lusaka,,Zesco United
Fritz-Walter-Stadion,"49,780",Europe,Germany,Kaiserslautern,,1. FC Kaiserslautern
Estadio José Amalfitani,"49,540",South America,Argentina,Buenos Aires,,CA Vélez Sársfield
Camille Chamoun Sports City Stadium♦,"49,500[58]",West Asia,Lebanon,Beirut,,"Lebanon national football team,Al Ahed FC,Al Ansar FC,Nejmeh SC"
Miyagi Stadium,"49,133",East Asia,Japan,"Rifu, Miyagi",,Vegalta Sendai
Incheon Munhak Stadium,"49,084",East Asia,South Korea,Incheon,,
Heinz-von-Heiden-Arena,"49,000",Europe,Germany,Hanover,,Hannover 96
Parc des Princes,"48,712",Europe,France,Paris,,Paris Saint-Germain
Stadium of Light,"48,707",Europe,England,"Sunderland, Tyne and Wear",,Sunderland AFC
Estadio Nacional♦,"48,665",South America,Chile,Santiago,,"Chile national football team,CF Universidad de Chile"
Nelson Mandela Bay Stadium,"48,459",Africa,South Africa,"Port Elizabeth, Eastern Cape",,Chippa United FC
Estadio Tomás Adolfo Ducó,"48,314",South America,Argentina,Buenos Aires,,CA Huracán
Jinnah Sports Stadium♦,"48,200",South Asia,Pakistan,Islamabad,,Pakistan national football team
Estadio Libertadores de América,"48,069",South America,Argentina,Avellaneda,,Club Atlético Independiente
Free State Stadium,"48,000",Africa,South Africa,"Bloemfontein, Free State",,"Bloemfontein Celtic,Toyota Cheetahs"
Nagai Stadium,"47,816",East Asia,Japan,Osaka,,"Cerezo Osaka,NTT DoCoMo Red Hurricanes Osaka"
Neo Química Arena,"47,605",South America,Brazil,"São Paulo, São Paulo",,Corinthians
Rogers Centre,"47,568",North America,Canada,"Toronto, Ontario",,"Toronto FC,Toronto Argonauts"
Estadio Monumental,"47,347",South America,Chile,Santiago,,Colo-Colo
Stadio Artemio Franchi,"47,282",Europe,Italy,Florence,,ACF Fiorentina
Estadio Ciudad de Lanús – Néstor Díaz Pérez,"47,027",South America,Argentina,Lanús,,CA Lanús
Estadio Metropolitano Roberto Meléndez,"46,788",South America,Colombia,Barranquilla,,"Colombia national football team,Atlético Junior"
Estádio Olímpico Nilton Santos,"46,831",South America,Brazil,"Rio de Janeiro, Rio de Janeiro",,Botafogo FR
Itaipava Arena Pernambuco,"46,154",South America,Brazil,"São Lourenço da Mata,Pernambuco",,Náutico
Arena MRV,"46,000",South America,Brazil,"Belo Horizonte,Minas Gerais",,C Atlético Mineiro
Estádio Paulo Constantino,"45,954",South America,Brazil,"Presidente Prudente, São Paulo",,Grêmio Prudente
Estadio Atanasio Girardot,"45,739",South America,Colombia,Medellín,,"Atlético Nacional,Independiente Medellín"
Estadio Ramón Sánchez Pizjuán,"45,500",Europe,Spain,Seville,,Sevilla FC
Adrar Stadium,"45,480",Africa,Morocco,Agadir,,Hassania Agadir
Lukoil Arena,"45,360",Europe,Russia,Moscow,,Spartak Moscow
Grand stade de Marrakech,"45,240",Africa,Morocco,Marrakesh,,Kawkab Marrakech
Mandela National Stadium♦,"45,202",Africa,Uganda,Kampala,,Uganda national football team
Tarczyński Arena Wrocław,"45,105",Europe,Poland,Wrocław,,Śląsk Wrocław
Kazan Arena,"45,105",Europe,Russia,Kazan,,Rubin Kazan
Estadio Inca Garcilaso de la Vega,"45,056",South America,Peru,Cusco,,"CS Cienciano,Deportivo Garcilaso,Cusco FC"
Estádio da Machava♦,"45,000",Africa,Mozambique,Maputo,,Mozambique national football team
Stadion Gelora Bung Tomo,"45,000",Southeast Asia,Indonesia,"Surabaya, East Java",,Persebaya Surabaya
Stadion Harapan Banga,"45,000",Southeast Asia,Indonesia,"Banda Aceh, Aceh",,"Persiraja,Aceh United"
Estadio General Pablo Rojas♦,"45,000",South America,Paraguay,Asunción,,Club Cerro Porteño
Stade Mohammed V♦,"45,000[59]",Africa,Morocco,Casablanca,,"Wydad,Raja"
Latakia Sports City Stadium,"45,000",West Asia,Syria,Latakia,,
Zibo Sports Centre Stadium,"45,000",East Asia,China,"Zibo,Shandong",,
Weifang Sports Centre Stadium,"45,000",East Asia,China,"Weifang,Shandong",,
Yantai Sports Park Stadium,"45,000",East Asia,China,"Yantai,Shandong",,
Stadium Tuanku Abdul Rahman,"45,000",Southeast Asia,Malaysia,Seremban,,"ATM FA,Negeri Sembilan"
Stade du Complexe sportif de Fès,"45,000",Africa,Morocco,Fes,,"Wydad de Fès,Maghreb de Fès"
Lagos National Stadium,"45,000",Africa,Nigeria,Lagos,,Nigeria national football team
Egyptian Army Stadium,"45,000",Africa,Egypt,Suez,,
Toyota Stadium,"45,000",East Asia,Japan,"Toyota City,Aichi",,"Nagoya Grampus,Toyota Verblitz"
Zayed Sports City Stadium,"45,000[60]",West Asia,United Arab Emirates,Abu Dhabi,,
Red Bull Arena,"44,345",Europe,Germany,Leipzig,,RB Leipzig
Estádio Governador Alberto Tavares Silva,"44,200",South America,Brazil,Teresina,,"River AC,EC Flamengo,Piauí EC,SE Tiradentes,Auto EC"
Estádio Universitário Pedro Pedrossian,"44,200",South America,Brazil,"Campo Grande,Mato Grosso do Sul",,"EC Comercial,Operário FC"
Ulsan Munsu Football Stadium,"44,102",East Asia,South Korea,Ulsan,,Ulsan HD FC
Arena Pantanal,"44,097",South America,Brazil,"Cuiabá, Mato Grosso",,"Cuiabá,Mixto EC"
Arena da Amazônia,"44,000",South America,Brazil,"Manaus, Amazonas",,Nacional FC
Suwon World Cup Stadium,"43,959",East Asia,South Korea,Suwon,,Suwon Samsung Bluewings
Stadion Utama Riau,"43,923",Southeast Asia,Indonesia,"Pekanbaru,Riau",,PSPS Pekanbaru
Allianz Parque,"43,713",South America,Brazil,"São Paulo, São Paulo",,SE Palmeiras
Shandong Provincial Stadium,"43,700",East Asia,China,"Jinan,Shandong",,
Polsat Plus Arena Gdańsk,"43,615",Europe,Poland,Gdańsk,,Lechia Gdańsk
Estadio Pedro Bidegain,"43,494",South America,Argentina,Buenos Aires,,CA San Lorenzo de Almagro
Stadion Miejski w Poznaniu,"43,269",Europe,Poland,Poznań,,"Lech Poznań,Warta Poznań"
Vasil Levski National Stadium,"43,230",Europe,Bulgaria,Sofia,,Bulgaria national football team
Estadio Universidad San Marcos,"43,000",South America,Peru,Lima,,Deportivo Universidad San Marcos
Ullevi,"43,000",Europe,Sweden,Gothenburg,,Sweden women's national football team
Jinzhou Binhai Sports Centre Stadium,"43,000",East Asia,China,Jinzhou,,
Estadio General Santander,"42,901",South America,Colombia,Cúcuta,,Cúcuta Deportivo
Villa Park,"42,682",Europe,England,"Birmingham,West Midlands",,Aston Villa
Perak Stadium,"42,500",Southeast Asia,Malaysia,Perak,,Perak FA
Jeonju World Cup Stadium,"42,477",East Asia,South Korea,Jeonju,,Jeonbuk Hyundai Motors FC
Ligga Arena,"42,372",South America,Brazil,"Curitiba,Paraná",,Athletico Paranaense
